slotID,date,doctorID,slotCode
20260101DR00110A,2026-01-01,DR001,10A
20260101DR00111A,2026-01-01,DR001,11A
20260101DR00111B,2026-01-01,DR001,11B
20260101DR00114A,2026-01-01,DR001,14A
20260101DR00114B,2026-01-01,DR001,14B
20260101DR00116B,2026-01-01,DR001,16B
20260101DR0018A,2026-01-01,DR001,8A
20260101DR0019A,2026-01-01,DR001,9A
20260101DR0019B,2026-01-01,DR001,9B
20260101DR00210A,2026-01-01,DR002,10A
20260101DR00210B,2026-01-01,DR002,10B
20260101DR00211B,2026-01-01,DR002,11B
20260101DR00213B,2026-01-01,DR002,13B
20260101DR00214A,2026-01-01,DR002,14A
20260101DR00214B,2026-01-01,DR002,14B
20260101DR00215A,2026-01-01,DR002,15A
20260101DR00216A,2026-01-01,DR002,16A
20260101DR00216B,2026-01-01,DR002,16B
20260101DR0028B,2026-01-01,DR002,8B
20260101DR0029B,2026-01-01,DR002,9B
20260101DR00310A,2026-01-01,DR003,10A
20260101DR00310B,2026-01-01,DR003,10B
20260101DR00311A,2026-01-01,DR003,11A
20260101DR00311B,2026-01-01,DR003,11B
20260101DR00313A,2026-01-01,DR003,13A
20260101DR00314B,2026-01-01,DR003,14B
20260101DR00315A,2026-01-01,DR003,15A
20260101DR00316A,2026-01-01,DR003,16A
20260101DR00410A,2026-01-01,DR004,10A
20260101DR00410B,2026-01-01,DR004,10B
20260101DR00411A,2026-01-01,DR004,11A
20260101DR00413A,2026-01-01,DR004,13A
20260101DR00413B,2026-01-01,DR004,13B
20260101DR00414B,2026-01-01,DR004,14B
20260101DR0049A,2026-01-01,DR004,9A
20260101DR0049B,2026-01-01,DR004,9B
20260101DR00510A,2026-01-01,DR005,10A
20260101DR00510B,2026-01-01,DR005,10B
20260101DR00511A,2026-01-01,DR005,11A
20260101DR00511B,2026-01-01,DR005,11B
20260101DR00513A,2026-01-01,DR005,13A
20260101DR00513B,2026-01-01,DR005,13B
20260101DR00514A,2026-01-01,DR005,14A
20260101DR00514B,2026-01-01,DR005,14B
20260101DR00515A,2026-01-01,DR005,15A
20260101DR00515B,2026-01-01,DR005,15B
20260101DR00516A,2026-01-01,DR005,16A
20260101DR00516B,2026-01-01,DR005,16B
20260101DR0058A,2026-01-01,DR005,8A
20260101DR0058B,2026-01-01,DR005,8B
20260101DR0059A,2026-01-01,DR005,9A
20260101DR0059B,2026-01-01,DR005,9B
20260101DR00611A,2026-01-01,DR006,11A
20260101DR00613A,2026-01-01,DR006,13A
20260101DR00613B,2026-01-01,DR006,13B
20260101DR00614A,2026-01-01,DR006,14A
20260101DR00615B,2026-01-01,DR006,15B
20260101DR00616A,2026-01-01,DR006,16A
20260101DR00616B,2026-01-01,DR006,16B
20260101DR0068A,2026-01-01,DR006,8A
20260101DR0068B,2026-01-01,DR006,8B
20260101DR0069B,2026-01-01,DR006,9B
20260101DR00710A,2026-01-01,DR007,10A
